Cacheblock,op_pair_count,temperature
7f71f4010e80,1,Cold (1-2 pairs)
7f71f4010f40,1,Cold (1-2 pairs)
7f71f4010fc0,1,Cold (1-2 pairs)
7f71f4011000,6,Warm (3-10 pairs)
7f71f4011240,1,Cold (1-2 pairs)
7f71f4011280,26,Hot (11+ pairs)
7f71f40112c0,3,Warm (3-10 pairs)
7f71f4011300,11,Hot (11+ pairs)
7f71f4011340,2,Cold (1-2 pairs)
7f71f4011380,1,Cold (1-2 pairs)
7f71f4011480,1,Cold (1-2 pairs)
7f71f4011540,10,Warm (3-10 pairs)
7f71f4011580,3,Warm (3-10 pairs)
7f71f4011640,5,Warm (3-10 pairs)
7f71f4011680,1,Cold (1-2 pairs)
7f71f4011700,2,Cold (1-2 pairs)
7f71f4011740,2,Cold (1-2 pairs)
7f71f4011780,13,Hot (11+ pairs)
7f71f40117c0,12,Hot (11+ pairs)
7f71f4011800,6,Warm (3-10 pairs)
7f71f4011840,1,Cold (1-2 pairs)
7f71f4011900,6,Warm (3-10 pairs)
7f71f4011980,3,Warm (3-10 pairs)
7f71f40119c0,4,Warm (3-10 pairs)
7f71f4011a00,1,Cold (1-2 pairs)
7f71f4011a40,4,Warm (3-10 pairs)
7f71f4011a80,5,Warm (3-10 pairs)
7f71f4011ac0,21,Hot (11+ pairs)
7f71f4011b00,16,Hot (11+ pairs)
7f71f4011bc0,15,Hot (11+ pairs)
7f71f4011c00,8,Warm (3-10 pairs)
7f71f4011c40,1,Cold (1-2 pairs)
7f71f4011d80,2,Cold (1-2 pairs)
7f71f4011e00,1,Cold (1-2 pairs)
7f71f4011e40,7,Warm (3-10 pairs)
7f71f4011e80,4,Warm (3-10 pairs)
7f71f4011ec0,6,Warm (3-10 pairs)
7f71f4011f00,4,Warm (3-10 pairs)
7f71f40120c0,3,Warm (3-10 pairs)
7f71f4012240,1,Cold (1-2 pairs)
7f71f40122c0,6,Warm (3-10 pairs)
7f71f4012300,3,Warm (3-10 pairs)
7f71f4012340,6,Warm (3-10 pairs)
7f71f4012380,6,Warm (3-10 pairs)
7f71f40123c0,1,Cold (1-2 pairs)
7f71f4012400,3,Warm (3-10 pairs)
7f71f40124c0,3,Warm (3-10 pairs)
7f71f4012500,1,Cold (1-2 pairs)
7f71f4012540,3,Warm (3-10 pairs)
7f71f4012580,3,Warm (3-10 pairs)
7f71f40125c0,1,Cold (1-2 pairs)
7f71f4012600,9,Warm (3-10 pairs)
7f71f4012640,1,Cold (1-2 pairs)
7f71f4012680,6,Warm (3-10 pairs)
7f71f40126c0,7,Warm (3-10 pairs)
7f71f4012700,2,Cold (1-2 pairs)
7f71f4012740,3,Warm (3-10 pairs)
7f71f4012780,1,Cold (1-2 pairs)
7f71f40127c0,13,Hot (11+ pairs)
7f71f4012800,12,Hot (11+ pairs)
7f71f4012840,3,Warm (3-10 pairs)
7f71f4012880,10,Warm (3-10 pairs)
7f71f40128c0,4,Warm (3-10 pairs)
7f71f4012900,2,Cold (1-2 pairs)
7f71f4012980,2,Cold (1-2 pairs)
7f71f40129c0,3,Warm (3-10 pairs)
7f71f4012a40,4,Warm (3-10 pairs)
7f71f4012a80,1,Cold (1-2 pairs)
7f71f4012ac0,5,Warm (3-10 pairs)
7f71f4012b00,4,Warm (3-10 pairs)
7f71f4012b40,1,Cold (1-2 pairs)
7f71f4012b80,2,Cold (1-2 pairs)
7f71f4012bc0,4,Warm (3-10 pairs)
7f71f4012c00,4,Warm (3-10 pairs)
7f71f4012c80,3,Warm (3-10 pairs)
7f71f4012cc0,1,Cold (1-2 pairs)
7f71f4012d40,3,Warm (3-10 pairs)
7f71f4012d80,13,Hot (11+ pairs)
7f71f4012dc0,13,Hot (11+ pairs)
7f71f4012e00,2,Cold (1-2 pairs)
7f71f4012e40,9,Warm (3-10 pairs)
7f71f4012e80,1,Cold (1-2 pairs)
7f71f4012ec0,9,Warm (3-10 pairs)
7f71f4012f00,8,Warm (3-10 pairs)
7f71f4012f40,7,Warm (3-10 pairs)
7f71f4012f80,7,Warm (3-10 pairs)
7f71f4012fc0,9,Warm (3-10 pairs)
7f71f4013000,10,Warm (3-10 pairs)
7f71f4013040,6,Warm (3-10 pairs)
7f71f4013080,15,Hot (11+ pairs)
7f71f40130c0,6,Warm (3-10 pairs)
7f71f4013100,4,Warm (3-10 pairs)
7f71f4013140,2,Cold (1-2 pairs)
7f71f4013180,6,Warm (3-10 pairs)
7f71f40131c0,5,Warm (3-10 pairs)
7f71f4013200,2,Cold (1-2 pairs)
7f71f4013240,12,Hot (11+ pairs)
7f71f4013280,1,Cold (1-2 pairs)
7f71f40132c0,8,Warm (3-10 pairs)
7f71f4013300,5,Warm (3-10 pairs)
7f71f4013340,2,Cold (1-2 pairs)
7f71f4013380,7,Warm (3-10 pairs)
7f71f40133c0,8,Warm (3-10 pairs)
7f71f4013400,2,Cold (1-2 pairs)
7f71f4013440,2,Cold (1-2 pairs)
7f71f4013480,4,Warm (3-10 pairs)
7f71f40134c0,2,Cold (1-2 pairs)
7f71f4013500,3,Warm (3-10 pairs)
7f71f4013540,3,Warm (3-10 pairs)
7f71f4013580,23,Hot (11+ pairs)
7f71f40135c0,19,Hot (11+ pairs)
7f71f4013600,5,Warm (3-10 pairs)
7f71f4013640,2,Cold (1-2 pairs)
7f71f4013680,11,Hot (11+ pairs)
7f71f40136c0,1,Cold (1-2 pairs)
7f71f4013700,13,Hot (11+ pairs)
7f71f4013740,16,Hot (11+ pairs)
7f71f4013780,22,Hot (11+ pairs)
7f71f40137c0,1,Cold (1-2 pairs)
7f71f4013800,3,Warm (3-10 pairs)
7f71f4013840,2,Cold (1-2 pairs)
7f71f4013880,13,Hot (11+ pairs)
7f71f40138c0,12,Hot (11+ pairs)
7f71f4013900,5,Warm (3-10 pairs)
7f71f4013940,17,Hot (11+ pairs)
7f71f4013980,2,Cold (1-2 pairs)
7f71f40139c0,8,Warm (3-10 pairs)
7f71f4013a00,3,Warm (3-10 pairs)
7f71f4013a40,1,Cold (1-2 pairs)
7f71f4013a80,1,Cold (1-2 pairs)
7f71f4013b80,1,Cold (1-2 pairs)
7f71f4013bc0,4,Warm (3-10 pairs)
7f71f4013c00,1,Cold (1-2 pairs)
7f71f4013d40,5,Warm (3-10 pairs)
7f71f4013d80,3,Warm (3-10 pairs)
7f71f4013e00,1,Cold (1-2 pairs)
7f71f4013e40,1,Cold (1-2 pairs)
7f71f4013e80,1,Cold (1-2 pairs)
7f71f4013ec0,58,Hot (11+ pairs)
7f71f4013f00,10,Warm (3-10 pairs)
7f71f4013f40,16,Hot (11+ pairs)
7f71f4013fc0,12,Hot (11+ pairs)
7f71f4014040,5,Warm (3-10 pairs)
7f71f4014080,3,Warm (3-10 pairs)
7f71f40140c0,5,Warm (3-10 pairs)
7f71f4014100,1,Cold (1-2 pairs)
7f71f4014700,7,Warm (3-10 pairs)
7f71f4014740,13,Hot (11+ pairs)
7f71f4014780,24,Hot (11+ pairs)
7f71f4014840,2,Cold (1-2 pairs)
7f71f4014880,59,Hot (11+ pairs)
7f71f40148c0,1,Cold (1-2 pairs)
7f71f4014900,1,Cold (1-2 pairs)
7f71f40149c0,1,Cold (1-2 pairs)
7f71f4014a00,8,Warm (3-10 pairs)
7f71f4014a80,5,Warm (3-10 pairs)
7f71f4015e80,2,Cold (1-2 pairs)
7f71f4015ec0,60,Hot (11+ pairs)
7f71f4015f00,3,Warm (3-10 pairs)
7f71f4015f40,4,Warm (3-10 pairs)
7f71f4016000,4,Warm (3-10 pairs)
7f71f4016040,1,Cold (1-2 pairs)
7f71f4016140,8,Warm (3-10 pairs)
7f71f4016180,12,Hot (11+ pairs)
7f71f40161c0,5,Warm (3-10 pairs)
7f71f4016240,2,Cold (1-2 pairs)
7f71f4016280,8,Warm (3-10 pairs)
7f71f40162c0,1,Cold (1-2 pairs)
7f71f4016340,3,Warm (3-10 pairs)
7f71f4016380,7,Warm (3-10 pairs)
7f71f4016400,2,Cold (1-2 pairs)
7f71f4016440,11,Hot (11+ pairs)
7f71f4016480,2,Cold (1-2 pairs)
7f71f4016580,1,Cold (1-2 pairs)
7f71f4016640,1,Cold (1-2 pairs)
7f71f4016680,1,Cold (1-2 pairs)
7f71f4016740,4,Warm (3-10 pairs)
7f71f4016780,1,Cold (1-2 pairs)
7f71f40167c0,1,Cold (1-2 pairs)
7f71f4016800,1,Cold (1-2 pairs)
7f71f4016840,2,Cold (1-2 pairs)
7f71f40168c0,2,Cold (1-2 pairs)
7f71f4016980,2,Cold (1-2 pairs)
7f71f40169c0,1,Cold (1-2 pairs)
7f71f4016a40,1,Cold (1-2 pairs)
7f71f4016b00,7,Warm (3-10 pairs)
7f71f4016b40,1,Cold (1-2 pairs)
7f71f4016b80,1,Cold (1-2 pairs)
7f71f4016bc0,4,Warm (3-10 pairs)
7f71f4016c00,3,Warm (3-10 pairs)
7f71f4016c40,1,Cold (1-2 pairs)
7f71f4016c80,2,Cold (1-2 pairs)
7f71f4016d00,1,Cold (1-2 pairs)
7f71f4016d40,6,Warm (3-10 pairs)
7f71f4016d80,2,Cold (1-2 pairs)
