Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:52:15 2025

Initialized Ramulator. 
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3dd6
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3e0d
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3e0e
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3e0f
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3e11
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3e13
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf686887
Micro-op 1: 7f74cf644512	Micro-op 2: 7f74cf68689d
Micro-op 1: 7f74c6e25a92	Micro-op 2: 7f74cf6868a6
Micro-op 1: 7f74cf6868e1	Micro-op 2: 7f74cf6868e6
Micro-op 1: 7f74cf68699b	Micro-op 2: 7f74cf6869b2
Micro-op 1: 7f74cf686988	Micro-op 2: 7f74cf6869d8
Micro-op 1: 7f74cf686992	Micro-op 2: 7f74cf686a15
Micro-op 1: 7f74cf632394	Micro-op 2: 7f74cf632394
Micro-op 1: 7f74cf6a2122	Micro-op 2: 7f74cf7984ba
Micro-op 1: 7f74cf68696f	Micro-op 2: 7f74cf68696f
Micro-op 1: 7f74cf6a2122	Micro-op 2: 7f74cf6a2122
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686988
Micro-op 1: 7f74cf79833c	Micro-op 2: 7f74cf686992
Micro-op 1: 7f74cf6869c0	Micro-op 2: 7f74cf6869c0
Micro-op 1: 7f74cf686a69	Micro-op 2: 7f74cf686a69
Micro-op 1: 7f74cf686a82	Micro-op 2: 7f74cf686a82
Micro-op 1: 7f74cf6868be	Micro-op 2: 7f74cf6868be
Micro-op 1: 7f74cf6868e1	Micro-op 2: 7f74cf6868e1
Micro-op 1: 7f74cf68692a	Micro-op 2: 7f74cf68692a
Micro-op 1: 7f74cf68699b	Micro-op 2: 7f74cf68699b
Micro-op 1: 7f74cf79833c	Micro-op 2: 7f74cf79833c
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf68695c
Micro-op 1: 7f74cf687024	Micro-op 2: 7f74cf687035
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf687094
Micro-op 1: 7f74cf6870a0	Micro-op 2: 7f74cf6870a7
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf6870ae
Micro-op 1: 7f74cf68692a	Micro-op 2: 7f74cf6870c3
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf6870ce
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf6870d5
Micro-op 1: 7f74c6e36b7b	Micro-op 2: 7f74cf6a2130
Micro-op 1: 7f74cf6a20aa	Micro-op 2: 7f74cf6a20ab
Micro-op 1: 7f74cf6a20ac	Micro-op 2: 7f74cf6a20ae
Micro-op 1: 7f74cf6a20b0	Micro-op 2: 7f74cf6a20b2
Micro-op 1: 7f74cf687105	Micro-op 2: 7f74cf687111
Micro-op 1: 7f74cf6a20b4	Micro-op 2: 7f74cf7984ba
Micro-op 1: 7f74cf686f67	Micro-op 2: 7f74cf686f94
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686f9b
Micro-op 1: 7f74cf68692a	Micro-op 2: 7f74cf686fae
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686fb9
Micro-op 1: 7f74cf68695c	Micro-op 2: 7f74cf686fc0
Micro-op 1: 7f74cf6870f9	Micro-op 2: 7f74cf686fe3
Micro-op 1: 7f74cf632464	Micro-op 2: 7f74cf632464
Micro-op 1: 7f74cf6a20b4	Micro-op 2: 7f74cf7987fd
Micro-op 1: 7f74cf6a2030	Micro-op 2: 7f74cf6a2030
