Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:48:18 2025

Initialized Ramulator. 
Micro-op 1: 7f34ea66b550	Micro-op 2: 7f34ea66b56a
Micro-op 1: 7f34ea66b715	Micro-op 2: 7f34ea66b715
Micro-op 1: 7f34ea66b73e	Micro-op 2: 7f34ea66b73e
Micro-op 1: 7f34ea66b755	Micro-op 2: 7f34ea66b755
Micro-op 1: 7f34ea66b7c0	Micro-op 2: 7f34ea66b7c0
Micro-op 1: 7f34ea66b7cc	Micro-op 2: 7f34ea66b7cc
Micro-op 1: 7f34ea66b3bc	Micro-op 2: 7f34ea66b87d
Micro-op 1: 7f34ea66b8b3	Micro-op 2: 7f34ea66b8d9
Micro-op 1: 7f34ea669122	Micro-op 2: 7f34ea669065
Micro-op 1: 7f34ea66b884	Micro-op 2: 7f34ea66919f
Micro-op 1: 7f34ea6691a2	Micro-op 2: 7f34ea6691a6
Micro-op 1: 7f34ea66b593	Micro-op 2: 7f34ea66b5bb
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66b677
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66b655
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66b474
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66b593
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66b5d8
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66b5ea
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66b550
Micro-op 1: 7f34ea66b4be	Micro-op 2: 7f34ea66b4be
Micro-op 1: 7f34ea66b4c1	Micro-op 2: 7f34ea66b4c1
Micro-op 1: 7f34ea66b4f4	Micro-op 2: 7f34ea66b4f4
Micro-op 1: 7f34ea66b4f7	Micro-op 2: 7f34ea66b4f7
Micro-op 1: 7f34ea66cf61	Micro-op 2: 7f34ea66b500
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66b50d
Micro-op 1: 7f34ea66cf61	Micro-op 2: 7f34ea66b52b
Micro-op 1: 7f34ea66cf61	Micro-op 2: 7f34ea66b52c
Micro-op 1: 7f34ea66bf43	Micro-op 2: 7f34ea66bf47
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66bf4b
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66bf55
Micro-op 1: 7f34ea66bfb6	Micro-op 2: 7f34ea66bfb6
Micro-op 1: 7f34ea66bfc1	Micro-op 2: 7f34ea66bfc1
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66bb16
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66bb22
Micro-op 1: 7f34ea669600	Micro-op 2: 7f34ea66961c
Micro-op 1: 7f34ea66cf61	Micro-op 2: 7f34ea669640
Micro-op 1: 7f34ea6695fc	Micro-op 2: 7f34ea669600
Micro-op 1: 7f34ea669640	Micro-op 2: 7f34ea669640
Micro-op 1: 7f34ea66bb64	Micro-op 2: 7f34ea66bb7f
Micro-op 1: 7f34ea669640	Micro-op 2: 7f34ea669640
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66bb9f
Micro-op 1: 7f34ea66bb0b	Micro-op 2: 7f34ea66bd82
Micro-op 1: 7f34ea66bb0b	Micro-op 2: 7f34ea66bde8
Micro-op 1: 7f34ea66bb0b	Micro-op 2: 7f34ea66bdfe
Micro-op 1: 7f34ea66bb0b	Micro-op 2: 7f34ea66be0b
Micro-op 1: 7f34ea66cf61	Micro-op 2: 7f34ea669640
Micro-op 1: 7f34ea669640	Micro-op 2: 7f34ea671e5d
Micro-op 1: 7f34ea66cfe0	Micro-op 2: 7f34ea66cfe1
Micro-op 1: 7f34ea66bb0b	Micro-op 2: 7f34ea66bc42
Micro-op 1: 7f34ea66cf9e	Micro-op 2: 7f34ea651646
Micro-op 1: 7f34ea66bc29	Micro-op 2: 7f34ea65164d
Micro-op 1: 7f34ea66911b	Micro-op 2: 7f34ea66c3e5
Micro-op 1: 7f34ea66c3c7	Micro-op 2: 7f34ea66c3d8
Micro-op 1: 7f34ea66c3e5	Micro-op 2: 7f34ea66c3e5
Micro-op 1: 7f34ea66c3ea	Micro-op 2: 7f34ea66c3ea
Micro-op 1: 7f34ea66c3ea	Micro-op 2: 7f34ea66c3ea
Micro-op 1: 7f34ea66c3f0	Micro-op 2: 7f34ea66c3f0
Micro-op 1: 7f34ea66c3f0	Micro-op 2: 7f34ea6516ac
Micro-op 1: 7f34ea66c3f0	Micro-op 2: 7f34ea6516c9
Micro-op 1: 7f34ea669065	Micro-op 2: 7f34ea651ae9
Micro-op 1: 7f34ea651b01	Micro-op 2: 7f34ea653a3f
Micro-op 1: 7f34ea6516e1	Micro-op 2: 7f34ea6516e1
Micro-op 1: 7f34ea651698	Micro-op 2: 7f34ea651698
Micro-op 1: 7f34ea66c3c4	Micro-op 2: 7f34ea66c3c4
Micro-op 1: 7f34ea66c3c7	Micro-op 2: 7f34ea66c3c7
Micro-op 1: 7f34ea66c401	Micro-op 2: 7f34ea66c401
Micro-op 1: 7f34ea651b01	Micro-op 2: 7f34ea651b01
Micro-op 1: 7f34ea66c408	Micro-op 2: 7f34ea66c408
Micro-op 1: 7f34ea669065	Micro-op 2: 7f34ea6516eb
Micro-op 1: 7f34ea6516fb	Micro-op 2: 7f34ea6516fb
Micro-op 1: 7f34ea6500c4	Micro-op 2: 7f34ea6500a4
Micro-op 1: 7f34ea6500c4	Micro-op 2: 7f34ea6500c4
Micro-op 1: 7f34ea66c4ad	Micro-op 2: 7f34ea66c4b4
Micro-op 1: 7f34ea66c4f9	Micro-op 2: 7f34ea66c4fa
Micro-op 1: 7f34ea65c290	Micro-op 2: 7f34ea65c295
Micro-op 1: 7f34ea65c2c9	Micro-op 2: 7f34ea65c2ce
Micro-op 1: 7f34ea6723c5	Micro-op 2: 7f34ea65c2db
Micro-op 1: 7f34ea65c2d3	Micro-op 2: 7f34ea65c2fb
Micro-op 1: 7f34ea65c4ed	Micro-op 2: 7f34ea65c4ee
Micro-op 1: 7f34ea65c4f0	Micro-op 2: 7f34ea65c4f2
Micro-op 1: 7f34ea65c4f4	Micro-op 2: 7f34ea65c4f6
Micro-op 1: 7f34ea65c38d	Micro-op 2: 7f34ea65c19e
Micro-op 1: 7f34ea650158	Micro-op 2: 7f34ea65c1cf
Micro-op 1: 7f34ea650154	Micro-op 2: 7f34ea65c1da
Micro-op 1: 7f34ea65c1ec	Micro-op 2: 7f34ea65c1f4
Micro-op 1: 7f34ea66cfaa	Micro-op 2: 7f34ea66c4ad
Micro-op 1: 7f34ea65c313	Micro-op 2: 7f34ea66c568
Micro-op 1: 7f34ea65c1d4	Micro-op 2: 7f34ea651d66
Micro-op 1: 7f34ea651d42	Micro-op 2: 7f34ea651d7a
Micro-op 1: 7f34ea66c568	Micro-op 2: 7f34ea651dc2
Micro-op 1: 7f34ea651df4	Micro-op 2: 7f34ea65281d
