Scarab gitrev: fbdb46e
Failed to load binaries: Failed to map module /simpoint_traces/clang/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 11:34:22 2025

Initialized Ramulator. 
Micro-op 1: 7ffff7dc54f9	Micro-op 2: 7ffff7dc54fa
Micro-op 1: 7ffff7db5290	Micro-op 2: 7ffff7db5295
Micro-op 1: 7ffff7db52c9	Micro-op 2: 7ffff7db52ce
Micro-op 1: 7ffff7dcb3c5	Micro-op 2: 7ffff7db52db
Micro-op 1: 7ffff7db52d3	Micro-op 2: 7ffff7db52fb
Micro-op 1: 7ffff7db54ed	Micro-op 2: 7ffff7db54ee
Micro-op 1: 7ffff7db54f0	Micro-op 2: 7ffff7db54f2
Micro-op 1: 7ffff7db54f4	Micro-op 2: 7ffff7db54f6
Micro-op 1: 7ffff7daa698	Micro-op 2: 7ffff7daad42
Micro-op 1: 7ffff7db538d	Micro-op 2: 7ffff7db519e
Micro-op 1: 7ffff7da9158	Micro-op 2: 7ffff7db51cf
Micro-op 1: 7ffff7da9154	Micro-op 2: 7ffff7db51da
Micro-op 1: 7ffff7db51ec	Micro-op 2: 7ffff7db51f4
Micro-op 1: 7ffff7db5313	Micro-op 2: 7ffff7dc5568
Micro-op 1: 7ffff7db51d4	Micro-op 2: 7ffff7daad66
Micro-op 1: 7ffff7dc5568	Micro-op 2: 7ffff7daadc2
Micro-op 1: 7ffff7daadf4	Micro-op 2: 7ffff7dab81d
Micro-op 1: 7ffff7daad7a	Micro-op 2: 7ffff7dab828
Micro-op 1: 7ffff7daae08	Micro-op 2: 7ffff7daae08
Micro-op 1: 7ffff7daadf4	Micro-op 2: 7ffff7daadf4
Micro-op 1: 7ffff7dab71e	Micro-op 2: 7ffff7dab71e
Micro-op 1: 7ffff7dab725	Micro-op 2: 7ffff7dab725
Micro-op 1: 7ffff7dab72e	Micro-op 2: 7ffff7dab72e
Micro-op 1: 7ffff7daad7a	Micro-op 2: 7ffff7daae36
Micro-op 1: 7ffff7dab7ab	Micro-op 2: 7ffff7dab7cf
Micro-op 1: 7ffff7dab7bf	Micro-op 2: 7ffff7dab7d6
Micro-op 1: 7ffff7dab7af	Micro-op 2: 7ffff7dab808
Micro-op 1: 7ffff7dab7b6	Micro-op 2: 7ffff7dab7b6
Micro-op 1: 7ffff7dab7f0	Micro-op 2: 7ffff7dab7bf
Micro-op 1: 7ffff7dab7e6	Micro-op 2: 7ffff7dab7e6
Micro-op 1: 7ffff7dab7ab	Micro-op 2: 7ffff7dab7ab
Micro-op 1: 7ffff7dab7af	Micro-op 2: 7ffff7dab7af
Micro-op 1: 7ffff7dab7f0	Micro-op 2: 7ffff7dab7f0
Micro-op 1: 7ffff7dab7bf	Micro-op 2: 7ffff7dab7bf
Micro-op 1: 7ffff7dab7e6	Micro-op 2: 7ffff7dab7e6
Micro-op 1: 7ffff7dab725	Micro-op 2: 7ffff7dab78a
Micro-op 1: 7ffff7dab78d	Micro-op 2: 7ffff7dab78d
Micro-op 1: 7ffff7dab799	Micro-op 2: 7ffff7dab799
Micro-op 1: 7ffff7db52f3	Micro-op 2: 7ffff7dab5cd
Micro-op 1: 7ffff7dab5db	Micro-op 2: 7ffff7dab5db
Micro-op 1: 7ffff7dabdf2	Micro-op 2: 7ffff7dabdf2
