Core, 0
DECODE_STAGE_OFF_PATH_pct,        0.002
DECODE_STAGE_OFF_PATH_total_count,          3236
DECODE_STAGE_OFF_PATH_total_pct,        0.002
DECODE_STAGE_OFF_PATH_sum_count,     181844681
DECODE_STAGE_OFF_PATH_sum_pct,      100.000
DECODE_STAGE_OFF_PATH_sum_total_count,     181844681
DECODE_STAGE_OFF_PATH_sum_total_pct,      100.000
DECODE_STAGE_OFF_PATH_mean,         1.00
DECODE_STAGE_OFF_PATH_stddev,         0.01
DECODE_STAGE_OFF_PATH_total_mean,         1.00
DECODE_STAGE_OFF_PATH_total_stddev,         0.01

UOPQ_STAGE_STARVED_count,         20395
UOPQ_STAGE_STARVED_pct,        0.089
UOPQ_STAGE_STARVED_total_count,         20395
UOPQ_STAGE_STARVED_total_pct,        0.089

UOPQ_STAGE_NOT_STARVED_count,      22833052
UOPQ_STAGE_NOT_STARVED_pct,       99.911
UOPQ_STAGE_NOT_STARVED_total_count,      22833052
UOPQ_STAGE_NOT_STARVED_total_pct,       99.911
UOPQ_STAGE_NOT_STARVED_sum_count,      22853447
UOPQ_STAGE_NOT_STARVED_sum_pct,      100.000
UOPQ_STAGE_NOT_STARVED_sum_total_count,      22853447
UOPQ_STAGE_NOT_STARVED_sum_total_pct,      100.000
UOPQ_STAGE_NOT_STARVED_mean,         1.00
UOPQ_STAGE_NOT_STARVED_stddev,         1.00
UOPQ_STAGE_NOT_STARVED_total_mean,         1.00
UOPQ_STAGE_NOT_STARVED_total_stddev,         1.00

UOPQ_STAGE_STALLED_count,     158988710
UOPQ_STAGE_STALLED_pct,       87.431
UOPQ_STAGE_STALLED_total_count,     158988710
UOPQ_STAGE_STALLED_total_pct,       87.431

UOPQ_STAGE_NOT_STALLED_count,      22853447
UOPQ_STAGE_NOT_STALLED_pct,       12.568
UOPQ_STAGE_NOT_STALLED_total_count,      22853447
UOPQ_STAGE_NOT_STALLED_total_pct,       12.568

UOPQ_STAGE_OFF_PATH_count,          2524
UOPQ_STAGE_OFF_PATH_pct,        0.001
UOPQ_STAGE_OFF_PATH_total_count,          2524
UOPQ_STAGE_OFF_PATH_total_pct,        0.001
UOPQ_STAGE_OFF_PATH_sum_count,     181844681
UOPQ_STAGE_OFF_PATH_sum_pct,      100.000
UOPQ_STAGE_OFF_PATH_sum_total_count,     181844681
UOPQ_STAGE_OFF_PATH_sum_total_pct,      100.000
UOPQ_STAGE_OFF_PATH_mean,         0.13
