Scarab gitrev: 8729389
Scarab started at Wed Apr  2 03:42:30 2025

Initialized Ramulator. 
Op1 PC: 7f97f88c78f8	 Op2 PC: 7f97fc701f3d	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 56	 Op2 offset: 16	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055883	Op2 micro-op id: 20056707	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78f8	 Op2 PC: 7f97fc701f3e	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 56	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055883	Op2 micro-op id: 20056709	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70a27a	 Op2 PC: 7f97fc70a284	 Op1 Cacheblock: 7f97f8931540	 Op2 Cacheblock: 7f97f8931540	 Op1 Offset: 8	 Op2 offset: 24	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 20056712	Op2 micro-op id: 20056714	Op1 mem size: 16	Op2 mem size: 16
Op1 PC: 7f97fc70a28e	 Op2 PC: 7f97fc70a298	 Op1 Cacheblock: 7f97f8931540	 Op2 Cacheblock: 7f97f8931540	 Op1 Offset: 40	 Op2 offset: 56	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 20056716	Op2 micro-op id: 20056718	Op1 mem size: 16	Op2 mem size: 16
Op1 PC: 7f97fc70a249	 Op2 PC: 7f97fc70a2ab	 Op1 Cacheblock: 7f97fc6c8700	 Op2 Cacheblock: 7f97fc6c8700	 Op1 Offset: 32	 Op2 offset: 60	 Op1 base reg: 5	Op2 base reg: 5	Op1 micro-op id: 20056330	Op2 micro-op id: 20056722	Op1 mem size: 8	Op2 mem size: 4
Op1 PC: 7f97fc70a249	 Op2 PC: 7f97fc70a2c3	 Op1 Cacheblock: 7f97fc6c8700	 Op2 Cacheblock: 7f97fc6c8700	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 5	Op2 base reg: 5	Op1 micro-op id: 20056330	Op2 micro-op id: 20056728	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70a320	 Op2 PC: 7f97fc70a321	 Op1 Cacheblock: 7fff61638b80	 Op2 Cacheblock: 7fff61638b80	 Op1 Offset: 0	 Op2 offset: 8	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20056863	Op2 micro-op id: 20056865	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70a323	 Op2 PC: 7f97fc70a325	 Op1 Cacheblock: 7fff61638b80	 Op2 Cacheblock: 7fff61638b80	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20056867	Op2 micro-op id: 20056869	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70b854	 Op2 PC: 7f97fc6f56b4	 Op1 Cacheblock: 7f97fc733f80	 Op2 Cacheblock: 7f97fc733f80	 Op1 Offset: 40	 Op2 offset: 48	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 20056382	Op2 micro-op id: 20056909	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fbc503fe	 Op2 PC: 7f97fbc4d6b1	 Op1 Cacheblock: 7f97f8931500	 Op2 Cacheblock: 7f97f8931500	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 7	Op2 base reg: 6	Op1 micro-op id: 20056923	Op2 micro-op id: 20056997	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78df	 Op2 PC: 7f97fbc4d6b5	 Op1 Cacheblock: 7f97fc6c87c0	 Op2 Cacheblock: 7f97fc6c87c0	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 20055867	Op2 micro-op id: 20056998	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fbc50409	 Op2 PC: 7f97fbc4d6fb	 Op1 Cacheblock: 7f97fbdc4d80	 Op2 Cacheblock: 7f97fbdc4d80	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 20056927	Op2 micro-op id: 20057014	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fbc50410	 Op2 PC: 7f97fbc4d705	 Op1 Cacheblock: 7f97fc6c86c0	 Op2 Cacheblock: 7f97fc6c86c0	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 4	Op2 base reg: 1	Op1 micro-op id: 20056928	Op2 micro-op id: 20057016	Op1 mem size: 8	Op2 mem size: 8
