pc1,pc2,cacheline,op_num1,op_num2
7f718157eaf2,7f7180b9d98d,7fff1ea3ef80,25663,26621
7f718157eaf2,7f7180b9d98f,7fff1ea3ef80,25663,26625
7f718157eaf2,7f7180b9d993,7fff1ea3ef80,25663,26629
7f718157eaf2,7f7180b9d995,7fff1ea3ef80,25663,26631
7f718157eaf2,7f7180b9d997,7fff1ea3ef80,25663,26633
7f718157f1d3,7f718157f15e,7fff1ea3efc0,25191,26638
7f718157f15f,7f718157f160,7fff1ea3efc0,26640,26642
7f718157f162,7f718157f164,7fff1ea3efc0,26644,26646
7f718157f06d,7f718157d4f7,7f717d8cfac0,23535,26652
7f718157f06d,7f718157d501,7f717d8cfac0,23535,26655
7f718157eaf2,7f718157e97d,7fff1ea3ef80,25663,27010
7f718157eaf2,7f718157e982,7fff1ea3ef80,25663,27016
7f718157f166,7f718157f1d3,7fff1ea3efc0,26648,27024
7f718157db6d,7f718157c48b,7f717e172ec0,19896,27143
7f7181548d94,7f71815487b4,7f717d8cfc00,27616,27632
7f71815484d7,7f71815484dd,7f718168a440,27708,27710
7f71815484d3,7f7181548560,7f717d8cfc00,27707,27795
7f718154a869,7f7181548480,7fff1ea3eec0,27664,27857
7f718154a864,7f718154858a,7f717d8cfc80,27662,27866
7f718154857e,7f7181548596,7f717d8cfc00,27863,27869
7f71815485a6,7f7181549df7,7f718168a440,27874,28081
7f7181549df4,7f7181549e34,7f717d8cfc00,28080,28130
7f7181549dfa,7f7181549e37,7fff1ea3eec0,28082,28131
7f718154a864,7f7181549e74,7f717d8cfc80,27662,28177
7f7181549dfa,7f7181549e78,7fff1ea3eec0,28082,28178
7f718157f1c0,7f718145f46a,7f717d8d0080,20633,28228
7f718157c4a8,7f718145f577,7f717d8cfb80,27148,28258
7f718145f470,7f718145f5f0,7f717d8cff80,28229,28266
7f718145f5f3,7f718145f605,7f717d8cff80,28267,28272
7f718145f9bb,7f718153c51a,7fff1ea3eec0,28475,28478
7f718153c520,7f718153c521,7fff1ea3eec0,28481,28483
7f718153c523,7f718153c525,7fff1ea3eec0,28485,28487
7f7181548512,7f7181548513,7fff1ea3ef00,28538,28540
7f7181548514,7f7181548516,7fff1ea3ef00,28542,28544
7f718157fcfa,7f718154851a,7fff1ea3ef40,25142,28548
7f718157fcfa,7f718154851c,7fff1ea3ef40,25142,28550
7f718157eaf2,7f718157c4e8,7fff1ea3ef80,25663,28555
7f718157c518,7f718157c536,7f717d8cfb40,28637,28649
7f718153c527,7f718154a869,7fff1ea3eec0,28489,28832
7f7181548d94,7f71815484d3,7f717d8cfc00,28797,28844
7f7181548518,7f7181548576,7fff1ea3ef00,28546,28878
7f71815484d7,7f71815485a6,7f718168a440,28845,28892
7f718154857e,7f7181549df4,7f717d8cfc00,28881,28915
7f7181549dfa,7f7181549dfa,7fff1ea3eec0,28082,28917
7f718145f470,7f718145f5f3,7f717d8cff80,29045,29056
7f7181549dfa,7f718145f9bb,7fff1ea3eec0,28082,29134
7f7181549dfa,7f718153c520,7fff1ea3eec0,28082,29140
7f7181549dfa,7f718153c523,7fff1ea3eec0,28082,29144
7f7181549dfa,7f718153c527,7fff1ea3eec0,28082,29148
7f7181548512,7f7181548514,7fff1ea3ef00,29157,29161
7f7181548518,7f7181548512,7fff1ea3ef00,29165,29227
7f7181548518,7f7181548518,7fff1ea3ef00,29165,29235
