
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f1e883a5c7f, 7f1e8c1aa7c0, 8, 0, 0, 4957147

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f1e883a4773, 7fff0d178d00, 8, 1, 1, 4957097
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f1e883a5c7b, 7fff0d178d00, 4, 7, 1, 4957146

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 30, 7f1e883a47aa, 7f1e883b36c0, 16, 0, 0, 1807802
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7f1e883a47aa, 7f1e883b36c0, 16, 0, 0, 4957114

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f1e883a4795, 7fff0d178cc0, 8, 3, 1, 1807796
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f1e883a4795, 7fff0d178cc0, 8, 3, 1, 4957108

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f1e883a4795, 7fff0d178cc0, 8, 3, 1, 1807796
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7f1e883a476f, 7fff0d178cc0, 8, 5, 1, 4957096

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f1e883a557d, 7fff0d178c00, 8, 8, 1, 1775055
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f1e8c1e3c3f, 7fff0d178c00, 8, 8, 1, 4957091

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f1e8c1e3c3b, 7f1e8c1aa700, 4, 1, 1, 1807778
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f1e8c1e3c3b, 7f1e8c1aa700, 4, 1, 1, 4957090

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f1e883a3894, 7f1e883b6f40, 8, 0, 0, 1807356
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f1e883a3894, 7f1e883b6f40, 8, 0, 0, 4957086

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f1e883a3954, 7f1e883b6f80, 8, 0, 0, 1806814
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f1e883a3954, 7f1e883b6f80, 8, 0, 0, 4957069

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f1e883a557d, 7fff0d178c00, 8, 8, 1, 1775055
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f1e8c1ed3b0, 7fff0d178c00, 8, 8, 1, 4957049

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f1e883a557d, 7fff0d178c00, 8, 8, 1, 1775055
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f1e8c1ed3ac, 7fff0d178c00, 8, 8, 1, 4957045

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f1e883a557d, 7fff0d178c00, 8, 8, 1, 1775055
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f1e8c1ed3a8, 7fff0d178c00, 8, 8, 1, 4957041

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 4957031

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f1e8c1ed008, 7fff0d178b80, 4, 5, 1, 4957026

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8c1ecffc, 7f1e8c1aa740, 8, 14, 1, 1806582
