
 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f97fc708fe9, 7fff61638ac0, 8, 5, 1, 20592314
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f97fc708ff0, 7fff61638ac0, 8, 5, 1, 20592315

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f97fc708f8d, 7f97fc7346c0, 8, 0, 0, 20592195
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f97fc708fd2, 7f97fc7346c0, 8, 0, 0, 20592310

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f97fc708fa7, 7fff61638ac0, 8, 5, 1, 20592200
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 15, 7f97fc708fcb, 7fff61638ac0, 1, 5, 1, 20592309

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f97fc708f94, 7f97fc7343c0, 8, 3, 1, 20592196
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 3a, 7f97fc708fae, 7f97fc7343c0, 1, 3, 1, 20592201

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f97fc708f45, 7fff61638ac0, 4, 5, 1, 20592062
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f97fc708f86, 7fff61638ac0, 8, 5, 1, 20592194

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f97fc6ffa1d, 7f97fc6c8740, 8, 1, 1, 20591972
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f97fc708f29, 7f97fc6c8740, 8, 14, 1, 20592057

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f97fc6ffa1d, 7f97fc6c8740, 8, 1, 1, 20591972
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f97fc708f1d, 7f97fc6c8740, 16, 14, 1, 20592055

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f97fc6ffa1d, 7f97fc6c8740, 8, 1, 1, 20591972
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f97fc708f11, 7f97fc6c8740, 16, 14, 1, 20592053

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f97fc70a249, 7f97fc6c8700, 8, 5, 1, 20592005
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7f97fc708f05, 7f97fc6c8700, 16, 14, 1, 20592051

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f97fc70a249, 7f97fc6c8700, 8, 5, 1, 20592005
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f97fc708ef6, 7f97fc6c8700, 16, 14, 1, 20592048

