MAP_STAGE_NOT_STARVED_sum_count,     106382169
MAP_STAGE_NOT_STARVED_sum_pct,      100.000
MAP_STAGE_NOT_STARVED_sum_total_count,     106382169
MAP_STAGE_NOT_STARVED_sum_total_pct,      100.000
MAP_STAGE_NOT_STARVED_mean,         0.98
MAP_STAGE_NOT_STARVED_stddev,         0.97
MAP_STAGE_NOT_STARVED_total_mean,         0.98
MAP_STAGE_NOT_STARVED_total_stddev,         0.97

MAP_STAGE_STALLED_count,      80422210
MAP_STAGE_STALLED_pct,       57.764
MAP_STAGE_STALLED_total_count,      80422210
MAP_STAGE_STALLED_total_pct,       57.764

MAP_STAGE_NOT_STALLED_count,      25959959
MAP_STAGE_NOT_STALLED_pct,       18.646
MAP_STAGE_NOT_STALLED_total_count,      25959959
MAP_STAGE_NOT_STALLED_total_pct,       18.646

MAP_STAGE_OFF_PATH_count,      32842412
MAP_STAGE_OFF_PATH_pct,       23.590
MAP_STAGE_OFF_PATH_total_count,      32842412
MAP_STAGE_OFF_PATH_total_pct,       23.590
MAP_STAGE_OFF_PATH_sum_count,     139224581
MAP_STAGE_OFF_PATH_sum_pct,      100.000
MAP_STAGE_OFF_PATH_sum_total_count,     139224581
MAP_STAGE_OFF_PATH_sum_total_pct,      100.000
MAP_STAGE_OFF_PATH_mean,         0.66
MAP_STAGE_OFF_PATH_stddev,         0.74
MAP_STAGE_OFF_PATH_total_mean,         0.66
MAP_STAGE_OFF_PATH_total_stddev,         0.74

EXEC_STAGE_STARVED_count,      65278954
EXEC_STAGE_STARVED_pct,       46.888
EXEC_STAGE_STARVED_total_count,      65278954
EXEC_STAGE_STARVED_total_pct,       46.888

EXEC_STAGE_NOT_STARVED_count,      51957390
EXEC_STAGE_NOT_STARVED_pct,       37.319
EXEC_STAGE_NOT_STARVED_total_count,      51957390
EXEC_STAGE_NOT_STARVED_total_pct,       37.319

EXEC_STAGE_OFF_PATH_count,      21988237
EXEC_STAGE_OFF_PATH_pct,       15.793
EXEC_STAGE_OFF_PATH_total_count,      21988237
EXEC_STAGE_OFF_PATH_total_pct,       15.793
EXEC_STAGE_OFF_PATH_sum_count,     139224581
EXEC_STAGE_OFF_PATH_sum_pct,      100.000
EXEC_STAGE_OFF_PATH_sum_total_count,     139224581
EXEC_STAGE_OFF_PATH_sum_total_pct,      100.000
EXEC_STAGE_OFF_PATH_mean,         0.69
EXEC_STAGE_OFF_PATH_stddev,         0.62
EXEC_STAGE_OFF_PATH_total_mean,         0.69
EXEC_STAGE_OFF_PATH_total_stddev,         0.62

FU_BUSY_0_count,      39215576
FU_BUSY_0_total_count,      39215576

FU_BUSY_1_count,      86726015
FU_BUSY_1_total_count,      86726015

FU_BUSY_2_count,      16346285
FU_BUSY_2_total_count,      16346285

FU_BUSY_3_count,      14696490
FU_BUSY_3_total_count,      14696490

FU_BUSY_4_count,      13895390
FU_BUSY_4_total_count,      13895390

FU_BUSY_5_count,      13325218
FU_BUSY_5_total_count,      13325218

FU_BUSY_6_count,       3673221
FU_BUSY_6_total_count,       3673221

FU_BUSY_7_count,       4338788
FU_BUSY_7_total_count,       4338788

FU_BUSY_8_count,             0
FU_BUSY_8_total_count,             0

FU_BUSY_9_count,             0
FU_BUSY_9_total_count,             0

FU_BUSY_10_count,             0
FU_BUSY_10_total_count,             0

FU_BUSY_11_count,             0
FU_BUSY_11_total_count,             0

FU_BUSY_12_count,             0
FU_BUSY_12_total_count,             0

FU_BUSY_13_count,             0
FU_BUSY_13_total_count,             0

FU_BUSY_14_count,             0
FU_BUSY_14_total_count,             0

