Scarab gitrev: f116de3
Scarab started at Sun Mar 30 13:17:17 2025

Initialized Ramulator. 
Op1 PC: 7ffff7da9fa8	 Op2 PC: 7ffff7da9fa8	 Op1 Cacheblock: 7ffff7dd6b00	 Op2 Cacheblock: 7ffff7dd6b00	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1255	Op2 micro-op id: 2487	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9fb6	 Op2 PC: 7ffff7da9fb6	 Op1 Cacheblock: 7ffff7dd6a80	 Op2 Cacheblock: 7ffff7dd6a80	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1258	Op2 micro-op id: 2490	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f4b	 Op2 PC: 7ffff7daa0b9	 Op1 Cacheblock: 7ffff7dd5f00	 Op2 Cacheblock: 7ffff7dd5f00	 Op1 Offset: 0	 Op2 offset: 32	 Op1 base reg: 4	Op2 base reg: 1	Op1 micro-op id: 962	Op2 micro-op id: 2497	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f62	 Op2 PC: 7ffff7daa0bd	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 Offset: 48	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 968	Op2 micro-op id: 2498	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa0c4	 Op2 PC: 7ffff7daa0c4	 Op1 Cacheblock: 7ffff7dd6b40	 Op2 Cacheblock: 7ffff7dd6b40	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1349	Op2 micro-op id: 2499	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa0de	 Op2 PC: 7ffff7daa0de	 Op1 Cacheblock: 7ffff7dd5f80	 Op2 Cacheblock: 7ffff7dd5f80	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 9	Op2 base reg: 9	Op1 micro-op id: 1356	Op2 micro-op id: 2506	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa11c	 Op2 PC: 7ffff7daa11c	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 1454	Op2 micro-op id: 2521	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa1ba	 Op2 PC: 7ffff7daa1b0	 Op1 Cacheblock: 7ffff7da85c0	 Op2 Cacheblock: 7ffff7da85c0	 Op1 Offset: 40	 Op2 offset: 36	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 2369	Op2 micro-op id: 2555	Op1 mem size: 8	Op2 mem size: 1
Op1 PC: 7ffff7daa1cd	 Op2 PC: 7ffff7daa1cd	 Op1 Cacheblock: 7ffff7dd69c0	 Op2 Cacheblock: 7ffff7dd69c0	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 2373	Op2 micro-op id: 2561	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa187	 Op2 PC: 7ffff7daa187	 Op1 Cacheblock: 7ffff7da8ec0	 Op2 Cacheblock: 7ffff7da8ec0	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 2542	Op2 micro-op id: 2730	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa1ba	 Op2 PC: 7ffff7daa1ba	 Op1 Cacheblock: 7ffff7da85c0	 Op2 Cacheblock: 7ffff7da85c0	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 2557	Op2 micro-op id: 2745	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa260	 Op2 PC: 7ffff7daa260	 Op1 Cacheblock: 7ffff7da8f00	 Op2 Cacheblock: 7ffff7da8f00	 Op1 Offset: 0	 Op2 offset: 24	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 2826	Op2 micro-op id: 2899	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f2f	 Op2 PC: 7ffff7db50b4	 Op1 Cacheblock: 7ffff7dd6c80	 Op2 Cacheblock: 7ffff7dd6c80	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 0	Op2 base reg: 7	Op1 micro-op id: 953	Op2 micro-op id: 3376	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa11c	 Op2 PC: 7ffff7db50c0	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 Offset: 48	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 1	Op1 micro-op id: 1454	Op2 micro-op id: 3379	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7db50c4	 Op2 PC: 7ffff7db50cc	 Op1 Cacheblock: 7ffff7da83c0	 Op2 Cacheblock: 7ffff7da83c0	 Op1 Offset: 8	 Op2 offset: 16	 Op1 base reg: 3	Op2 base reg: 3	Op1 micro-op id: 3380	Op2 micro-op id: 3382	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7ffff7db50cf	 Op2 PC: 7ffff7db50eb	 Op1 Cacheblock: 7ffff7da83c0	 Op2 Cacheblock: 7ffff7da83c0	 Op1 Offset: 12	 Op2 offset: 20	 Op1 base reg: 3	Op2 base reg: 3	Op1 micro-op id: 3383	Op2 micro-op id: 3391	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7ffff7dc473e	 Op2 PC: 7ffff7dc474b	 Op1 Cacheblock: 7fffffffd200	 Op2 Cacheblock: 7fffffffd200	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 7	Op2 base reg: 1	Op1 micro-op id: 3472	Op2 micro-op id: 3477	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc474b	 Op2 PC: 7ffff7dc474b	 Op1 Cacheblock: 7fffffffd2c0	 Op2 Cacheblock: 7fffffffd2c0	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 3833	Op2 micro-op id: 3837	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc47b4	 Op2 PC: 7ffff7dc47d8	 Op1 Cacheblock: 7ffff7dd5e40	 Op2 Cacheblock: 7ffff7dd5e40	 Op1 Offset: 32	 Op2 offset: 16	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 4261	Op2 micro-op id: 4267	Op1 mem size: 4	Op2 mem size: 8
Op1 PC: 7ffff7dc47e9	 Op2 PC: 7ffff7dc47f5	 Op1 Cacheblock: 7ffff7dd5640	 Op2 Cacheblock: 7ffff7dd5640	 Op1 Offset: 48	 Op2 offset: 24	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 4270	Op2 micro-op id: 4272	Op1 mem size: 2	Op2 mem size: 4
Op1 PC: 7ffff7dc48f8	 Op2 PC: 7ffff7dc490a	 Op1 Cacheblock: 7fffffffd2c0	 Op2 Cacheblock: 7fffffffd2c0	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 4696	Op2 micro-op id: 4700	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7dc481a	 Op2 PC: 7ffff7dc481a	 Op1 Cacheblock: 7ffff7dcc840	 Op2 Cacheblock: 7ffff7dcc840	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 3	Op2 base reg: 3	Op1 micro-op id: 4812	Op2 micro-op id: 4825	Op1 mem size: 4	Op2 mem size: 4
