Scarab gitrev: f116de3
Scarab started at Sun Mar 30 13:19:37 2025

Initialized Ramulator. 
Op1 PC: 7f718188ca28	 Op2 PC: 7f718188ca28	 Op1 Cacheblock: 7f718186c8c0	 Op2 Cacheblock: 7f718186c8c0	 Op1 Offset: 33	 Op2 offset: 33	 Op1 base reg: 7	Op2 base reg: 7	Op1 micro-op id: 5802	Op2 micro-op id: 6131	Op1 mem size: 1	Op2 mem size: 1
Op1 PC: 7f718188ca2e	 Op2 PC: 7f718188ca2e	 Op1 Cacheblock: 7fff1ea3e4c0	 Op2 Cacheblock: 7fff1ea3e4c0	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 5804	Op2 micro-op id: 6133	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187739d	 Op2 PC: 7f718187739d	 Op1 Cacheblock: 7f718189ad00	 Op2 Cacheblock: 7f718189ad00	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 13	Op2 base reg: 13	Op1 micro-op id: 5809	Op2 micro-op id: 6138	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f71818773b3	 Op2 PC: 7f71818773b3	 Op1 Cacheblock: 7fff1ea3e500	 Op2 Cacheblock: 7fff1ea3e500	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 5814	Op2 micro-op id: 6143	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f71818773b7	 Op2 PC: 7f71818773b7	 Op1 Cacheblock: 7f718186ca40	 Op2 Cacheblock: 7f718186ca40	 Op1 Offset: 10	 Op2 offset: 10	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 5815	Op2 micro-op id: 6144	Op1 mem size: 2	Op2 mem size: 2
Op1 PC: 7f7181877842	 Op2 PC: 7f71818773c8	 Op1 Cacheblock: 7f718189acc0	 Op2 Cacheblock: 7f718189acc0	 Op1 Offset: 56	 Op2 offset: 16	 Op1 base reg: 2	Op2 base reg: 13	Op1 micro-op id: 5094	Op2 micro-op id: 6148	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f71818773d4	 Op2 PC: 7f71818773d4	 Op1 Cacheblock: 7f717e176f80	 Op2 Cacheblock: 7f717e176f80	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 5821	Op2 micro-op id: 6150	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f71818773d7	 Op2 PC: 7f71818773d7	 Op1 Cacheblock: 7f717e174940	 Op2 Cacheblock: 7f717e174940	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 14	Op2 base reg: 14	Op1 micro-op id: 5822	Op2 micro-op id: 6151	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f71818774d4	 Op2 PC: 7f71818774d4	 Op1 Cacheblock: 7f718189b440	 Op2 Cacheblock: 7f718189b440	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 10	Op2 base reg: 10	Op1 micro-op id: 5912	Op2 micro-op id: 6205	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f7181877450	 Op2 PC: 7f7181877450	 Op1 Cacheblock: 7f717e174940	 Op2 Cacheblock: 7f717e174940	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 14	Op2 base reg: 14	Op1 micro-op id: 6154	Op2 micro-op id: 6251	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718188c788	 Op2 PC: 7f718188c788	 Op1 Cacheblock: 7f717e91e980	 Op2 Cacheblock: 7f717e91e980	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 6	Op2 base reg: 6	Op1 micro-op id: 6092	Op2 micro-op id: 6315	Op1 mem size: 16	Op2 mem size: 16
