Scarab gitrev: 3e29641
Scarab started at Tue Apr  8 05:34:02 2025

Initialized Ramulator. 
Op1 PC: 7f97fc70b85b, Op2 PC: 7f97fc70b914, Op1 Cacheline: 7f97f89315c0, Op2 Cacheline: 7f97f89315c0, Op1 Mem size: 4, Op2 Mem size: 4, Op1 Base reg: 7, Op2 Base reg: 7
Op1 PC: 7f97fc70b91a, Op2 PC: 7f97fc70b91a, Op1 Cacheline: 7f97f8931600, Op2 Cacheline: 7f97f8931600, Op1 Mem size: 4, Op2 Mem size: 4, Op1 Base reg: 7, Op2 Base reg: 7
Op1 PC: 7f97fc70b85b, Op2 PC: 7f97fc70b921, Op1 Cacheline: 7f97f89315c0, Op2 Cacheline: 7f97f89315c0, Op1 Mem size: 4, Op2 Mem size: 0, Op1 Base reg: 7, Op2 Base reg: 7
Op1 PC: 7f97fc70b854, Op2 PC: 7f97fc70b854, Op1 Cacheline: 7f97fc733f80, Op2 Cacheline: 7f97fc733f80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97fc70b85b, Op2 PC: 7f97fc70b85b, Op1 Cacheline: 7f97f89315c0, Op2 Cacheline: 7f97f89315c0, Op1 Mem size: 4, Op2 Mem size: 4, Op1 Base reg: 7, Op2 Base reg: 7
Op1 PC: 7f97fc70b86f, Op2 PC: 7f97fc70b86f, Op1 Cacheline: 7f97f8931a40, Op2 Cacheline: 7f97f8931a40, Op1 Mem size: 4, Op2 Mem size: 4, Op1 Base reg: 1, Op2 Base reg: 1
Op1 PC: 7f97fc70b895, Op2 PC: 7f97fc70b895, Op1 Cacheline: 7f97fc734400, Op2 Cacheline: 7f97fc734400, Op1 Mem size: 4, Op2 Mem size: 4, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97f88c78da, Op2 PC: 7f97fc70b7dd, Op1 Cacheline: 7fff61638b00, Op2 Cacheline: 7fff61638b00, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78da, Op2 PC: 7f97fc70b7de, Op1 Cacheline: 7fff61638b00, Op2 Cacheline: 7fff61638b00, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fc70b7df, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fc70b7e1, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f8, Op2 PC: 7f97fc70b7e3, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
