UOPQ_STAGE_OFF_PATH_count,             0
UOPQ_STAGE_OFF_PATH_pct,        0.000
UOPQ_STAGE_OFF_PATH_total_count,             0
UOPQ_STAGE_OFF_PATH_total_pct,        0.000
UOPQ_STAGE_OFF_PATH_sum_count,      15289496
UOPQ_STAGE_OFF_PATH_sum_pct,      100.000
UOPQ_STAGE_OFF_PATH_sum_total_count,      15289496
UOPQ_STAGE_OFF_PATH_sum_total_pct,      100.000
UOPQ_STAGE_OFF_PATH_mean,         1.00
UOPQ_STAGE_OFF_PATH_stddev,         0.00
UOPQ_STAGE_OFF_PATH_total_mean,         1.00
UOPQ_STAGE_OFF_PATH_total_stddev,         0.00

MAP_STAGE_STARVED_count,        286050
MAP_STAGE_STARVED_pct,        2.087
MAP_STAGE_STARVED_total_count,        286050
MAP_STAGE_STARVED_total_pct,        2.087

MAP_STAGE_NOT_STARVED_count,      13416997
MAP_STAGE_NOT_STARVED_pct,       97.913
MAP_STAGE_NOT_STARVED_total_count,      13416997
MAP_STAGE_NOT_STARVED_total_pct,       97.913
MAP_STAGE_NOT_STARVED_sum_count,      13703047
MAP_STAGE_NOT_STARVED_sum_pct,      100.000
MAP_STAGE_NOT_STARVED_sum_total_count,      13703047
MAP_STAGE_NOT_STARVED_sum_total_pct,      100.000
MAP_STAGE_NOT_STARVED_mean,         0.98
MAP_STAGE_NOT_STARVED_stddev,         0.97
MAP_STAGE_NOT_STARVED_total_mean,         0.98
MAP_STAGE_NOT_STARVED_total_stddev,         0.97

MAP_STAGE_STALLED_count,       6223010
MAP_STAGE_STALLED_pct,       40.701
MAP_STAGE_STALLED_total_count,       6223010
MAP_STAGE_STALLED_total_pct,       40.701

MAP_STAGE_NOT_STALLED_count,       7480037
MAP_STAGE_NOT_STALLED_pct,       48.923
MAP_STAGE_NOT_STALLED_total_count,       7480037
MAP_STAGE_NOT_STALLED_total_pct,       48.923

MAP_STAGE_OFF_PATH_count,       1586449
MAP_STAGE_OFF_PATH_pct,       10.376
MAP_STAGE_OFF_PATH_total_count,       1586449
MAP_STAGE_OFF_PATH_total_pct,       10.376
MAP_STAGE_OFF_PATH_sum_count,      15289496
MAP_STAGE_OFF_PATH_sum_pct,      100.000
MAP_STAGE_OFF_PATH_sum_total_count,      15289496
MAP_STAGE_OFF_PATH_sum_total_pct,      100.000
MAP_STAGE_OFF_PATH_mean,         0.70
MAP_STAGE_OFF_PATH_stddev,         0.52
MAP_STAGE_OFF_PATH_total_mean,         0.70
MAP_STAGE_OFF_PATH_total_stddev,         0.52

EXEC_STAGE_STARVED_count,      13934356
EXEC_STAGE_STARVED_pct,       91.137
EXEC_STAGE_STARVED_total_count,      13934356
EXEC_STAGE_STARVED_total_pct,       91.137

EXEC_STAGE_NOT_STARVED_count,        424840
EXEC_STAGE_NOT_STARVED_pct,        2.779
EXEC_STAGE_NOT_STARVED_total_count,        424840
EXEC_STAGE_NOT_STARVED_total_pct,        2.779

EXEC_STAGE_OFF_PATH_count,        930300
