op1_pc,op2_pc,distance
7f97f88c8548,7f97f88c8548,425
7f97f88c8545,7f97f88c8545,10
7f97fbc500ea,7f97fbd59e80,10556592
7f97fbd5a087,7f97fbd5a087,28
7f97fbd5a0d2,7f97fbd5a0d2,28
7f97fbd5a10c,7f97fbd5a10c,87
7f97fbd5a10c,7f97fbd5a10c,6
7fff617846f1,7f97fbd5a11b,40269043
7f97f88c78f8,7f97f88c8594,40272142
7f97f88c78f8,7f97f88c8595,40272144
7f97fc7093b1,7f97f88c8596,39735527
7f97fc7093b1,7f97f88c8598,39735529
7f97fc7093b1,7f97f88c859a,39735531
7f97fc7093b1,7f97f88c859c,39735533
7f97f88c66f4,7f97f88c6714,60322932
7f97fbe732e4,7f97fbe732e4,435
7f97fbc4de50,7f97fbc4dea8,39738684
7f97fc7093b1,7f97fbc5045b,39737418
7f97fc7093b1,7f97fbc5045c,39737420
7f97fc7093b1,7f97fc70a31f,39737586
7f97fbc4d890,7f97fbc4d890,40272359
7f97fbc4deb0,7f97fbc4deb0,760
7f97fbc4c79f,7f97fbc4c79f,170
7f97fbea6133,7f97fbc5045b,40270825
7f97fbea6133,7f97fbc5045c,40270827
7f97f88c99d2,7f97f88c99da,1
7f97f88c77e7,7f97f88c981f,39738412
7f97f88c6784,7f97f88c6784,3176
7f97fc6f5a34,7f97fc6f5a34,39745210
7f97fbc4f088,7f97fbc4fe70,424
7f97fbc4f088,7f97fbc4fe77,432
7f97fc708edf,7f97fc708edf,10628405
7f97fc708f8d,7f97fc708f8d,10628405
7f97f88c6494,7f97f88c6494,10628316
7f97fbe730d4,7f97fbe730d4,10628170
7f97fbc500af,7f97fbc500af,10627768
7f97f88c77d2,7f97f88c8605,39740129
7f97fbc4f088,7f97fbc4f088,1724
7f97fbc4c79f,7f97fbe82992,3274
7f97fbc4c79f,7f97fc6ffc2c,3338
7f97f88c981f,7f97f88c869f,10632498
7f97f88c981f,7f97f88c86d0,40274709
7f97f88c86cd,7f97f88c86cd,423
7f97f88c86d7,7f97f88c86d7,423
7f97f88c86c9,7f97f88c86c9,10
7f97f88c86a7,7f97f88c86ab,1
7f97f88c869c,7f97f88c869c,21
7f97f88c86a7,7f97f88c86a7,21
7f97f88c86e2,7f97f88c86e2,32
7f97f88c86c9,7f97f88c8712,30936
7f97f88c78da,7f97f88c871a,40309396
7f97f88c78da,7f97fbd59df3,40309463
7f97f88c78f8,7f97f88c875b,40309487
7f97f88c78f8,7f97f88c875c,40309489
7f97f88c78f8,7f97f88c875d,40309491
7f97f88c78f8,7f97f88c875f,40309493
7f97f88c78f8,7f97f88c8761,40309495
7f97f88c78f8,7f97f88c8763,40309497
7f97fbc50402,7f97fbc50402,35327
7f97fc701f26,7f97fc701f26,35718
7f97fc70a2a2,7f97fc70a2a2,35718
7f97fbc4c79f,7f97fbc4c79f,35575
7f97f88c9960,7f97f88c9960,35203
7f97fc6ff819,7f97fc6ff819,35169
7f97fc708dda,7f97fc708dda,10664805
7f97fbc4ef98,7f97fbc4ef98,10661758
7f97fbc4efb7,7f97fbc4efb7,113
7f97f88c6894,7f97f88c6894,34757
7f97f88c869c,7f97f88c869c,21
7f97f88c6604,7f97f88c6604,3327
7f97fbe732e4,7f97fbe732e4,3257
7f97fbe73b34,7f97fbe73b34,3257
7f97f88c99c7,7f97f88c99c7,3440
7f97f88c9960,7f97f88c99e8,38581
7f97fc7093b1,7f97fc6ffc2c,39778720
7f97f88c7ad0,7f97f88c7ad0,505
7f97f88c7ad0,7f97f88c7ad0,6
7f97f88c7aea,7f97f88c7aeb,2
7f97fbc4c79f,7f97fbc4c837,6334593
7f97fbc4c79f,7f97fbc4c839,6334595
7f97fbea6133,7f97fbc5045b,46606046
7f97fbc5045c,7f97fbc5045c,46607600
7f97f88c9a5e,7f97f88c9a5f,2
7f97f88c9a60,7f97f88c9a62,2
7f97f88c9a64,7f97f88c9a66,2
7f97f88c8ad3,7f97f88c8ad6,1
7f97fbd59e40,7f97fbd59e45,1
