Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:45:26 2025

Initialized Ramulator. 
Micro-op 1: 7f74c6e26692	Micro-op 2: 7f74cf6a1e33	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74cf6a1e49	Micro-op 2: 7f74cf6a1e59	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74cf6a1e68	Micro-op 2: 7f74cf6a1e69	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3dd6	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3e0d	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3e0e	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3e0f	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3e11	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf6a280d	Micro-op 2: 7f74cf6a3e13	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf686887	 Cacheblock Address: 7f7254170700
Micro-op 1: 7f74cf644512	Micro-op 2: 7f74cf68689d	 Cacheblock Address: 7f7254170440
Micro-op 1: 7f74c6e25a92	Micro-op 2: 7f74cf6868a6	 Cacheblock Address: 7f725416fac0
Micro-op 1: 7f74cf6868e1	Micro-op 2: 7f74cf6868e6	 Cacheblock Address: 7f725416fb80
Micro-op 1: 7f74cf68699b	Micro-op 2: 7f74cf6869b2	 Cacheblock Address: 7f74cf801300
Micro-op 1: 7f74cf686988	Micro-op 2: 7f74cf6869d8	 Cacheblock Address: 7f725416f500
Micro-op 1: 7f74cf686992	Micro-op 2: 7f74cf686a15	 Cacheblock Address: 7f74c792f240
Micro-op 1: 7f74cf632394	Micro-op 2: 7f74cf632394	 Cacheblock Address: 7f74cf7fc040
Micro-op 1: 7f74cf6a2122	Micro-op 2: 7f74cf7984ba	 Cacheblock Address: 7f725416f440
Micro-op 1: 7f74cf68696f	Micro-op 2: 7f74cf68696f	 Cacheblock Address: 7f74cf7f91c0
Micro-op 1: 7f74cf6a2122	Micro-op 2: 7f74cf6a2122	 Cacheblock Address: 7f725416f440
