Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:51:07 2025

Initialized Ramulator. 
Micro-op 1: 7f34ea66ba50	Micro-op 2: 7f34ea66ba54	 Cacheblock Address: 7ffe447c3240
Micro-op 1: 7f34ea66ba50	Micro-op 2: 7f34ea66ba50	 Cacheblock Address: 7ffe447c3240
Micro-op 1: 7f34ea66ba10	Micro-op 2: 7f34ea66ba14	 Cacheblock Address: 7ffe447c3280
Micro-op 1: 7f34ea66ba10	Micro-op 2: 7f34ea66ba10	 Cacheblock Address: 7ffe447c3280
Micro-op 1: 7f34ea66b948	Micro-op 2: 7f34ea66b94c	 Cacheblock Address: 7ffe447c32c0
Micro-op 1: 7f34ea66b948	Micro-op 2: 7f34ea66b948	 Cacheblock Address: 7ffe447c32c0
Micro-op 1: 7f34ea66b828	Micro-op 2: 7f34ea66b828	 Cacheblock Address: 7ffe447c3300
Micro-op 1: 7f34ea66b920	Micro-op 2: 7f34ea66b932	 Cacheblock Address: 7ffe447c3300
Micro-op 1: 7f34ea66b920	Micro-op 2: 7f34ea66b920	 Cacheblock Address: 7ffe447c3300
Micro-op 1: 7f34ea66b9e8	Micro-op 2: 7f34ea66b9ec	 Cacheblock Address: 7ffe447c3300
Micro-op 1: 7f34ea66b87d	Micro-op 2: 7f34ea66b88f	 Cacheblock Address: 7ffe447c2c00
Micro-op 1: 7f34ea66b884	Micro-op 2: 7f34ea66b896	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea66b8a2	Micro-op 2: 7f34ea66b8a9	 Cacheblock Address: 7ffe447c2c00
Micro-op 1: 7f34ea66b8b3	Micro-op 2: 7f34ea66b8c6	 Cacheblock Address: 7ffe447c2c00
Micro-op 1: 7f34ea66b9e8	Micro-op 2: 7f34ea66b9e8	 Cacheblock Address: 7ffe447c3300
Micro-op 1: 7f34ea66b87d	Micro-op 2: 7f34ea66b8a2	 Cacheblock Address: 7ffe447c2c00
Micro-op 1: 7f34ea66b8b3	Micro-op 2: 7f34ea66b8cd	 Cacheblock Address: 7ffe447c2c00
Micro-op 1: 7f34ea66b8d9	Micro-op 2: 7f34ea66b8e4	 Cacheblock Address: 7ffe447c2c00
Micro-op 1: 7f34ea669096	Micro-op 2: 7f34ea6690b8	 Cacheblock Address: 7ffe447c3980
Micro-op 1: 7f34ea669138	Micro-op 2: 7f34ea66913e	 Cacheblock Address: 7f34ea67c8c0
Micro-op 1: 7f34ea669138	Micro-op 2: 7f34ea669138	 Cacheblock Address: 7f34ea67c900
Micro-op 1: 7f34ea669147	Micro-op 2: 7f34ea669147	 Cacheblock Address: 7f34ea674c00
Micro-op 1: 7f34ea669174	Micro-op 2: 7f34ea669174	 Cacheblock Address: 7ffe447c3980
Micro-op 1: 7f34ea669096	Micro-op 2: 7f34ea66911b	 Cacheblock Address: 7ffe447c3980
Micro-op 1: 7f34ea669065	Micro-op 2: 7f34ea669122	 Cacheblock Address: 7f34ea67ce40
Micro-op 1: 7f34ea669089	Micro-op 2: 7f34ea669089	 Cacheblock Address: 7ffe447c30c0
Micro-op 1: 7f34ea66911b	Micro-op 2: 7f34ea669096	 Cacheblock Address: 7ffe447c3980
Micro-op 1: 7f34ea669164	Micro-op 2: 7f34ea669164	 Cacheblock Address: 7f34ea674cc0
Micro-op 1: 7f34ea66919f	Micro-op 2: 7f34ea6691a0	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea6691a2	Micro-op 2: 7f34ea6691a4	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea6691a6	Micro-op 2: 7f34ea6691a8	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea66b3c5	Micro-op 2: 7f34ea66b3d7	 Cacheblock Address: 7f34ea67c6c0
Micro-op 1: 7f34ea66b79c	Micro-op 2: 7f34ea66b79c	 Cacheblock Address: 7f34ea67c780
Micro-op 1: 7f34ea669122	Micro-op 2: 7f34ea66b7b4	 Cacheblock Address: 7f34ea67ce40
Micro-op 1: 7f34ea66b7ff	Micro-op 2: 7f34ea66b7e9	 Cacheblock Address: 7f34ea67c640
Micro-op 1: 7f34ea66b7ff	Micro-op 2: 7f34ea66b7ff	 Cacheblock Address: 7f34ea67c640
Micro-op 1: 7f34ea66b41c	Micro-op 2: 7f34ea66b561	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66b550	Micro-op 2: 7f34ea66b56a	 Cacheblock Address: 7f34ea67c6c0
Micro-op 1: 7f34ea66b715	Micro-op 2: 7f34ea66b715	 Cacheblock Address: 7ffe447c2d00
Micro-op 1: 7f34ea66b73e	Micro-op 2: 7f34ea66b73e	 Cacheblock Address: 7ffe447c30c0
Micro-op 1: 7f34ea66b755	Micro-op 2: 7f34ea66b755	 Cacheblock Address: 7ffe447c31c0
Micro-op 1: 7f34ea66b7c0	Micro-op 2: 7f34ea66b7c0	 Cacheblock Address: 7f34ea67c7c0
Micro-op 1: 7f34ea66b7cc	Micro-op 2: 7f34ea66b7cc	 Cacheblock Address: 7f34ea67c600
Micro-op 1: 7f34ea66b3bc	Micro-op 2: 7f34ea66b87d	 Cacheblock Address: 7ffe447c2c00
Micro-op 1: 7f34ea66b8b3	Micro-op 2: 7f34ea66b8d9	 Cacheblock Address: 7ffe447c2c00
Micro-op 1: 7f34ea669122	Micro-op 2: 7f34ea669065	 Cacheblock Address: 7f34ea67ce40
Micro-op 1: 7f34ea66b884	Micro-op 2: 7f34ea66919f	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea6691a2	Micro-op 2: 7f34ea6691a6	 Cacheblock Address: 7ffe447c2bc0
Micro-op 1: 7f34ea66b593	Micro-op 2: 7f34ea66b5bb	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66b677	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66b655	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66b474	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66b593	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66b655	Micro-op 2: 7f34ea66b5d8	 Cacheblock Address: 7f34ea67c680
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66b5ea	 Cacheblock Address: 7f34ea67c6c0
Micro-op 1: 7f34ea66b441	Micro-op 2: 7f34ea66b550	 Cacheblock Address: 7f34ea67c6c0
Micro-op 1: 7f34ea66b4be	Micro-op 2: 7f34ea66b4be	 Cacheblock Address: 7ffe447c2b40
Micro-op 1: 7f34ea66b4c1	Micro-op 2: 7f34ea66b4c1	 Cacheblock Address: 7ffe447c2ac0
Micro-op 1: 7f34ea66b4f4	Micro-op 2: 7f34ea66b4f4	 Cacheblock Address: 7ffe447c2b40
Micro-op 1: 7f34ea66b4f7	Micro-op 2: 7f34ea66b4f7	 Cacheblock Address: 7ffe447c2ac0
Micro-op 1: 7f34ea66cf61	Micro-op 2: 7f34ea66b500	 Cacheblock Address: 7ffe447c2bc0
