Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:42:56 2025

Initialized Ramulator. 
Micro-op 1: 7f7181884c61	Micro-op 2: 7f7181884c66	 Cacheblock Address: 7fff1ea3e740
Micro-op 1: 7f718187d19a	Micro-op 2: 7f7181886db4	 Cacheblock Address: 7f717e172ec0
Micro-op 1: 7f7181886dc9	Micro-op 2: 7f7181886dda	 Cacheblock Address: 7f717e924fc0
Micro-op 1: 7f7181884c72	Micro-op 2: 7f7181886dde	 Cacheblock Address: 7fff1ea3f140
Micro-op 1: 7f718187820e	Micro-op 2: 7f718187d11b	 Cacheblock Address: 7f717e91e580
Micro-op 1: 7f718187d135	Micro-op 2: 7f718187d135	 Cacheblock Address: 7f717e91ecc0
Micro-op 1: 7f718187d142	Micro-op 2: 7f718187d142	 Cacheblock Address: 7f718189e940
Micro-op 1: 7f717e920592	Micro-op 2: 7f718079bd6e	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f718079bd6b	Micro-op 2: 7f718079bd6b	 Cacheblock Address: 7f71808f73c0
Micro-op 1: 7f7180b9baae	Micro-op 2: 7f7180b9baaf	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180b9bab0	Micro-op 2: 7f7180b9bab2	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180be9fd2	Micro-op 2: 7f7180be9fd3	 Cacheblock Address: 7fff1ea3f180
Micro-op 1: 7f7180be9fd5	Micro-op 2: 7f7180be9fd7	 Cacheblock Address: 7fff1ea3f1c0
Micro-op 1: 7f7180bea0b0	Micro-op 2: 7f7180bea0b0	 Cacheblock Address: 7f7180cf8480
Micro-op 1: 7f7180b4cec5	Micro-op 2: 7f7180b4ced3	 Cacheblock Address: 7f717d725180
Micro-op 1: 7f7180c8f6f5	Micro-op 2: 7f7180b4cf29	 Cacheblock Address: 7f717d725180
Micro-op 1: 7f7180b4cf40	Micro-op 2: 7f7180b4cf40	 Cacheblock Address: 7f717d8cf8c0
Micro-op 1: 7f7180b4cf4d	Micro-op 2: 7f7180b4cf4d	 Cacheblock Address: 7f717d8cb600
Micro-op 1: 7f7180b4cf4d	Micro-op 2: 7f7180b4cf4d	 Cacheblock Address: 7f717d8cf7c0
Micro-op 1: 7f7180c8b041	Micro-op 2: 7f7180c8b06a	 Cacheblock Address: 7f717d8cf7c0
