Scarab gitrev: 25b3c1d
Failed to load binaries: Failed to map module /simpoint_traces/gcc/traces_simp/bin/cc1 Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 03:21:33 2025

Initialized Ramulator. 
Op1 PC: 7f34ea651260	 Op2 PC: 7f34ea651260	 Op1 Cacheblock: 7f34ea64ff00	 Op2 Cacheblock: 7f34ea64ff00	 Op1 Offset: 0	 Op2 offset: 24	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f34ea650f2f	 Op2 PC: 7f34ea65c0b4	 Op1 Cacheblock: 7f34ea67dc80	 Op2 Cacheblock: 7f34ea67dc80	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 0	Op2 base reg: 7
Op1 PC: 7f34ea650ecb	 Op2 PC: 7f34ea65c0c0	 Op1 Cacheblock: 7f34ea67ce80	 Op2 Cacheblock: 7f34ea67ce80	 Op1 Offset: 0	 Op2 offset: 16	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f34ea65c0c4	 Op2 PC: 7f34ea65c0cc	 Op1 Cacheblock: 7f34ea64f3c0	 Op2 Cacheblock: 7f34ea64f3c0	 Op1 Offset: 8	 Op2 offset: 16	 Op1 base reg: 3	Op2 base reg: 3
Op1 PC: 7f34ea65c0cf	 Op2 PC: 7f34ea65c0eb	 Op1 Cacheblock: 7f34ea64f3c0	 Op2 Cacheblock: 7f34ea64f3c0	 Op1 Offset: 12	 Op2 offset: 20	 Op1 base reg: 3	Op2 base reg: 3
Op1 PC: 7f34ea66b73e	 Op2 PC: 7f34ea66b74b	 Op1 Cacheblock: 7ffe447c30c0	 Op2 Cacheblock: 7ffe447c30c0	 Op1 Offset: 0	 Op2 offset: 8	 Op1 base reg: 7	Op2 base reg: 1
Op1 PC: 7f34ea66b74b	 Op2 PC: 7f34ea66b74b	 Op1 Cacheblock: 7ffe447c31c0	 Op2 Cacheblock: 7ffe447c31c0	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f34ea66b7b4	 Op2 PC: 7f34ea66b7d8	 Op1 Cacheblock: 7f34ea67ce40	 Op2 Cacheblock: 7f34ea67ce40	 Op1 Offset: 32	 Op2 offset: 16	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea66b7e9	 Op2 PC: 7f34ea66b7f5	 Op1 Cacheblock: 7f34ea67c640	 Op2 Cacheblock: 7f34ea67c640	 Op1 Offset: 48	 Op2 offset: 24	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea66b8f8	 Op2 PC: 7f34ea66b90a	 Op1 Cacheblock: 7ffe447c3200	 Op2 Cacheblock: 7ffe447c3200	 Op1 Offset: 0	 Op2 offset: 8	 Op1 base reg: 4	Op2 base reg: 4
