Scarab gitrev: 25b3c1d
Failed to load binaries: Failed to map module /simpoint_traces/clang/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 03:08:14 2025

Initialized Ramulator. 
Op1 PC: 7ffff7dc49e8	 Op2 PC: 7ffff7dc49e8	 Op1 Cacheblock: 7fffffffd400	 Op2 Cacheblock: 7fffffffd400	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc487d	 Op2 PC: 7ffff7dc48a2	 Op1 Cacheblock: 7fffffffc980	 Op2 Cacheblock: 7fffffffc980	 Op1 Offset: 4	 Op2 offset: 6	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7ffff7dc48b3	 Op2 PC: 7ffff7dc48cd	 Op1 Cacheblock: 7fffffffc980	 Op2 Cacheblock: 7fffffffc980	 Op1 Offset: 7	 Op2 offset: 8	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7ffff7dc48d9	 Op2 PC: 7ffff7dc48e4	 Op1 Cacheblock: 7fffffffc980	 Op2 Cacheblock: 7fffffffc980	 Op1 Offset: 23	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7ffff7dc2096	 Op2 PC: 7ffff7dc20b8	 Op1 Cacheblock: 7fffffffe140	 Op2 Cacheblock: 7fffffffe140	 Op1 Offset: 24	 Op2 offset: 25	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7ffff7dc2138	 Op2 PC: 7ffff7dc213e	 Op1 Cacheblock: 7ffff7dd58c0	 Op2 Cacheblock: 7ffff7dd58c0	 Op1 Offset: 8	 Op2 offset: 16	 Op1 base reg: 9	Op2 base reg: 9
Op1 PC: 7ffff7dc2138	 Op2 PC: 7ffff7dc2138	 Op1 Cacheblock: 7ffff7dd5900	 Op2 Cacheblock: 7ffff7dd5900	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 9	Op2 base reg: 9
Op1 PC: 7ffff7dc2147	 Op2 PC: 7ffff7dc2147	 Op1 Cacheblock: 7ffff7dcdc00	 Op2 Cacheblock: 7ffff7dcdc00	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 11	Op2 base reg: 11
Op1 PC: 7ffff7dc2174	 Op2 PC: 7ffff7dc2174	 Op1 Cacheblock: 7fffffffe140	 Op2 Cacheblock: 7fffffffe140	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7ffff7dc211b	 Op2 PC: 7ffff7dc211b	 Op1 Cacheblock: 7fffffffe140	 Op2 Cacheblock: 7fffffffe140	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7ffff7dc2089	 Op2 PC: 7ffff7dc2089	 Op1 Cacheblock: 7fffffffd200	 Op2 Cacheblock: 7fffffffd200	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 14	Op2 base reg: 14
