Scarab gitrev: 3faa0e4
Failed to load binaries: Failed to map module /simpoint_traces/postgres/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 02:39:19 2025

Initialized Ramulator. 
Op1 PC: 7f718187733a	 Op2 PC: 7f7181877344	 Op1 Cacheblock: 7f718186c740	 Op2 Cacheblock: 7f718186c740	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 10	Op2 base reg: 10
Op1 PC: 7f7181877355	 Op2 PC: 7f7181877386	 Op1 Cacheblock: 7f718186c740	 Op2 Cacheblock: 7f718186c740	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 10	Op2 base reg: 2
Op1 PC: 7f718187734d	 Op2 PC: 7f718187738b	 Op1 Cacheblock: 7fff1ea3e500	 Op2 Cacheblock: 7fff1ea3e500	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718188c784	 Op2 PC: 7f718188c7b0	 Op1 Cacheblock: 7f718186c8c0	 Op2 Cacheblock: 7f718186c8c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 7	Op2 base reg: 7
Op1 PC: 7f7181877871	 Op2 PC: 7f71818774dd	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187750b	 Op2 PC: 7f718187750b	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818773c8	 Op2 PC: 7f71818777b8	 Op1 Cacheblock: 7f718189acc0	 Op2 Cacheblock: 7f718189acc0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 13	Op2 base reg: 2
Op1 PC: 7f71818777bf	 Op2 PC: 7f71818777bf	 Op1 Cacheblock: 7f718186c400	 Op2 Cacheblock: 7f718186c400	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f718187750b	 Op2 PC: 7f71818777db	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187780f	 Op2 PC: 7f718187780f	 Op1 Cacheblock: 7fff1ea3e580	 Op2 Cacheblock: 7fff1ea3e580	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f7181877842	 Op2 PC: 7f7181877842	 Op1 Cacheblock: 7f718189acc0	 Op2 Cacheblock: 7f718189acc0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f718187784c	 Op2 PC: 7f718187786c	 Op1 Cacheblock: 7fff1ea3e540	 Op2 Cacheblock: 7fff1ea3e540	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187750b	 Op2 PC: 7f7181877871	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818773b3	 Op2 PC: 7f718187734d	 Op1 Cacheblock: 7fff1ea3e500	 Op2 Cacheblock: 7fff1ea3e500	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187733a	 Op2 PC: 7f7181877355	 Op1 Cacheblock: 7f718186c740	 Op2 Cacheblock: 7f718186c740	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 10	Op2 base reg: 10
Op1 PC: 7f718188b691	 Op2 PC: 7f718188b691	 Op1 Cacheblock: 7f7181890f40	 Op2 Cacheblock: 7f7181890f40	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 11	Op2 base reg: 11
Op1 PC: 7f718188ca28	 Op2 PC: 7f718188c784	 Op1 Cacheblock: 7f718186c8c0	 Op2 Cacheblock: 7f718186c8c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 7	Op2 base reg: 7
Op1 PC: 7f718188ca24	 Op2 PC: 7f718188c7ea	 Op1 Cacheblock: 7f717e91e9c0	 Op2 Cacheblock: 7f717e91e9c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 6	Op2 base reg: 6
Op1 PC: 7f718188ca28	 Op2 PC: 7f718188c7ef	 Op1 Cacheblock: 7f718186c8c0	 Op2 Cacheblock: 7f718186c8c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 7	Op2 base reg: 7
Op1 PC: 7f718188ca24	 Op2 PC: 7f718188ca24	 Op1 Cacheblock: 7f717e91e9c0	 Op2 Cacheblock: 7f717e91e9c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 6	Op2 base reg: 6
Op1 PC: 7f718188ca28	 Op2 PC: 7f718188ca28	 Op1 Cacheblock: 7f718186c8c0	 Op2 Cacheblock: 7f718186c8c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 7	Op2 base reg: 7
Op1 PC: 7f718188ca2e	 Op2 PC: 7f718188ca2e	 Op1 Cacheblock: 7fff1ea3e4c0	 Op2 Cacheblock: 7fff1ea3e4c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
